Rank,Change,Player,School,Position,Height,Weight,CollegeClass,Date,DraftStatus
301,-8,Reggie Corbin,Illinois,RBF,"5'10""",200,JR,2020-01-03,Underclassman
302,+79,J.J. Taylor,Arizona,RBC,"5'6""",184,RJR,2020-01-03,Underclassman
303,-9,Josh Metellus,Michigan,S,"5'11""",215,SR,2020-01-03,Eligible
304,-9,David Dowell,Michigan State,S,"6'1""",205,SR,2020-01-03,Eligible
305,-9,Josiah Scott,Michigan State,CB,"5'10""",168,JR,2020-01-03,Declared
306,-9,Jared Rice,Fresno State,TE,"6'5""",243,SR,2020-01-03,Eligible
307,-9,Jet Toner,Stanford,PK,"6'4""",201,SR,2020-01-03,Eligible
308,-9,Kendrick Rogers,Texas A&M,WRF,6'4'',204,JR,2020-01-03,Underclassman
309,-9,Doug Costin,Miami (OH),DL3T,"6'2""",295,SR,2020-01-03,Eligible
310,-9,Matt Peart,Connecticut,OT,"6'7""",303,RSR,2020-01-03,Eligible
311,-9,Erroll Thompson,Mississippi State,ILB,"6'1""",250,JR,2020-01-03,Underclassman
312,NEW,DeeJay Dallas,Miami (FL),RBF,"5'10""",214,JR,2020-01-03,Declared
313,-9,Spencer Brown,UAB,FB,"6'0""",230,JR,2020-01-03,Underclassman
314,-9,Lakiem Williams,Syracuse,OLB,"6'0""",225,SR,2020-01-03,Eligible
315,-9,Delontae Scott,SMU,EDGE,"6'5""",250,SR,2020-01-03,Eligible
316,-9,Troy Pride Jr.,Notre Dame,CB,"5'11""",192,SR,2020-01-03,Eligible
317,-9,Shaq Smith,Maryland,ILB,"6'2""",250,RJR,2020-01-03,Underclassman
318,-9,Logan Wilson,Wyoming,ILB,"6'2""",250,RSR,2020-01-03,Eligible
319,-9,Javahn Ferguson,New Mexico State,ILB,"6'1""",230,SR,2020-01-03,Eligible
320,-9,Tra Minter,South Alabama,RBC,"5'9""",200,JR,2020-01-03,Underclassman
321,-9,Sean Adesanya,Central Michigan,EDGE,"6'3""",240,SR,2020-01-03,Eligible
322,-9,Jalen Elliott,Notre Dame,S,"6'0""",207,SR,2020-01-03,Eligible
323,-9,Dicaprio Bootle,Nebraska,CB,"5'10""",190,JR,2020-01-03,Underclassman
324,-9,Rodney Smith,Minnesota,RBF,"5'11""",210,SR,2020-01-03,Eligible
325,-9,James Gilbert,Kansas State,RBC,"5'9""",198,SR,2020-01-03,Eligible
326,-9,Bryan London II,Texas State,OLB,"6'2""",232,SR,2020-01-03,Eligible
327,-9,Tyler Coyle,Connecticut,S,"6'0""",207,RJR,2020-01-03,Underclassman
328,-9,Chase Allen,Iowa State,TE,"6'6""",240,SR,2020-01-03,Eligible
329,-9,Cedric Byrd II,Hawaii,WRS,"5'9""",175,SR,2020-01-03,Eligible
330,-9,Garrett Marino,UAB,DL3T,"6'2""",290,SR,2020-01-03,Eligible
331,-9,Rodrigo Blankenship,Georgia,PK,"6'1""",191,SR,2020-01-03,Eligible
332,-9,Cheyenne O'Grady,Arkansas,TE,"6'4""",256,SR,2020-01-03,Eligible
333,-9,Jake Verity,East Carolina,PK,"6'1""",185,SR,2020-01-03,Eligible
334,-9,Patrick Queen,LSU,ILB,"6'2""",232,JR,2020-01-03,Underclassman
335,-9,Larry Rountree III,Missouri,RBF,"5'10""",210,JR,2020-01-03,Underclassman
336,-9,Rashad Robinson,James Madison,CB,"5'11""",185,SR,2020-01-03,Eligible
337,-9,Brandon Wright,Georgia State,P,"5'10""",182,SR,2020-01-03,Eligible
338,-9,Khalil Brooks,Middle Tennessee,OLB,"5'11""",206,RSR,2020-01-03,Eligible
339,-9,Chase Claypool,Notre Dame,WRF,"6'4""",227,SR,2020-01-03,Eligible
340,-9,Robert Windsor,Penn State,DL3T,"6'4""",289,SR,2020-01-03,Eligible
341,-9,Jordan Smith,UAB,EDGE,"6'7""",250,RSO,2020-01-03,Underclassman
342,-9,Luke Campbell,Michigan State,OT,"6'5""",302,JR,2020-01-03,Underclassman
343,-9,Richie Worship,Purdue,FB,"6'0""",250,SR,2020-01-03,Eligible
344,-9,Nyles Pinckney,Clemson,DL3T,"6'1""",305,RJR,2020-01-03,Underclassman
345,-9,Tyler Shelvin,LSU,DL1T,"6'3""",362,RSO,2020-01-03,Underclassman
346,-9,Charles Williams,UNLV,RBC,"5'9""",190,RJR,2020-01-03,Underclassman
347,-9,Jon Runyan,Michigan,OG,"6'5""",310,RSR,2020-01-03,Eligible
348,NEW,Harrison Hand,Temple,S,"6'0""",192,JR,2020-01-03,Declared
349,-9,Gabriel Davis,UCF,WRF,6'3'',212,JR,2020-01-03,Declared
350,-9,Bryce Huff,Memphis,EDGE,"6'3""",245,JR,2020-01-03,Underclassman
351,-9,Cesar Ruiz,Michigan,OC,"6'4""",319,JR,2020-01-03,Declared
352,-9,Christian Albright,Ball State,OLB,"6'2""",233,JR,2020-01-03,Underclassman
353,-9,Jordan Williams,Clemson,DL3T,"6'4""",305,RSO,2020-01-03,Underclassman
354,-9,Jordan Fuller,Ohio State,S,"6'2""",205,SR,2020-01-03,Eligible
355,-9,Xavier Jones,SMU,RBF,"5'11""",208,SR,2020-01-03,Eligible
356,-9,Charles Snowden,Virginia,EDGE,"6'7""",225,JR,2020-01-03,Underclassman
357,-9,Dane Jackson,Pitt,CB,"6'0""",190,SR,2020-01-03,Eligible
358,-9,Ellison Hubbard,Colorado State,DL3T,"6'1""",285,JR,2020-01-03,Underclassman
359,-9,Nate Evans,UCF,ILB,"6'1""",244,SR,2020-01-03,Eligible
360,-9,Easop Winston Jr.,Washington State,WRS,5'11'',190,SR,2020-01-03,Eligible
361,NEW,Javelin Guidry,Utah,CB,"5'9""",193,JR,2020-01-03,Declared
362,-9,Jamario Bell,Arkansas,EDGE,"6'5""",265,SR,2020-01-03,Eligible
363,-9,Leo Lewis,Mississippi State,ILB,"6'2""",245,SR,2020-01-03,Eligible
364,-9,Greg Eiland,Mississippi State,OT,"6'8""",335,JR,2020-01-03,Underclassman
365,-9,Chapelle Russell,Temple,OLB,"6'1""",215,SR,2020-01-03,Eligible
366,-9,Jonathan Song,TCU,PK,"5'10""",175,SR,2020-01-03,Eligible
367,-8,Sage Lewis,Florida International,ILB,"6'1""",240,SR,2020-01-03,Eligible
368,-8,Kalija Lipscomb,Vanderbilt,WRF,"6'1""",200,SR,2020-01-03,Eligible
369,NEW,Kyle Markway,South Carolina,TE,"6'4""",250,RJR,2020-01-03,Declared
370,-7,Chris Williamson,Minnesota,CB,"6'0""",198,SR,2020-01-03,Eligible
371,-7,Xavier Lyas,NC State,EDGE,"6'4""",239,RSO,2020-01-03,Underclassman
372,-7,Myles Bryant,Washington,CB,"5'9""",184,SR,2020-01-03,Eligible
373,-7,Phidarian Mathis,Alabama,DL1T,"6'4""",317,RSO,2020-01-03,Underclassman
374,-7,Charleston Rambo,Oklahoma,WRF,6'1'',175,RSO,2020-01-03,Underclassman
375,-7,Jeff Thomas,Miami (FL),WRS,5'10'',180,JR,2020-01-03,Declared
376,-7,Malcolm Roach,Texas,DL5T,"6'3""",290,SR,2020-01-03,Eligible
377,NEW,Darius Bradwell,Tulane,FB,"6'1""",230,SR,2020-01-03,Eligible
378,-8,Najee Clayton,Western Michigan,OLB,"6'2""",220,SR,2020-01-03,Eligible
379,-8,Benny LeMay,Charlotte,RBF,"6'0""",218,SR,2020-01-03,Eligible
380,-8,Luke Farrell,Ohio State,TE,"6'6""",244,SR,2020-01-03,Eligible
381,-8,Christian Rector,USC,EDGE,"6'4""",275,RSR,2020-01-03,Eligible
382,-8,Clay Johnston,Baylor,ILB,"6'1""",236,SR,2020-01-03,Eligible
383,-8,Cole McDonald,Hawaii,QB,"6'4""",220,JR,2020-01-03,Underclassman
384,-8,William Bradley-King,Arkansas State,EDGE,"6'4""",248,JR,2020-01-03,Underclassman
385,-8,Scott Frantz,Kansas State,OT,"6'5""",303,SR,2020-01-03,Eligible
386,+77,Evin Ksiezarczyk,Buffalo,OT,"6'6""",315,RSR,2020-01-03,Eligible
387,-9,Asmar Bilal,Notre Dame,ILB,"6'2""",227,RSR,2020-01-03,Eligible
388,-9,Isaiahh Loudermilk,Wisconsin,DL5T,"6'7""",306,JR,2020-01-03,Underclassman
389,-9,Mark Gilbert,Duke,CB,"6'1""",175,RJR,2020-01-03,Underclassman
390,-9,George Lea,Arizona State,DL5T,"6'3""",275,RSR,2020-01-03,Eligible
391,-7,Mykal Walker,Fresno State,ILB,"6'3""",220,SR,2020-01-03,Eligible
392,-7,Nigel Warrior,Tennessee,S,"6'0""",191,SR,2020-01-03,Eligible
393,-7,Hunter Bryant,Washington,TE,"6'2""",241,RJR,2020-01-03,Declared
394,-7,Keith Taylor,Washington,CB,"6'3""",200,JR,2020-01-03,Underclassman
395,-7,Joe Reed,Virginia,WRF,6'1'',215,SR,2020-01-03,Eligible
396,-7,Mike Danna,Michigan,EDGE,"6'2""",253,RSR,2020-01-03,Eligible
397,-7,Marcel Spears Jr.,Iowa State,OLB,"6'1""",215,RSR,2020-01-03,Eligible
398,-7,Cohl Cabral,Arizona State,OC,"6'5""",291,SR,2020-01-03,Eligible
399,-7,Cooper Rothe,Wyoming,PK,"5'11""",178,SR,2020-01-03,Eligible
400,-7,Connor Slomka,Army,FB,"6'0""",240,SR,2020-01-03,Eligible
401,-7,Zach Robertson,Arizona State,OT,"6'5""",335,SR,2020-01-03,Eligible
402,-7,Tyler Higby,Michigan State,OG,"6'4""",303,SR,2020-01-03,Eligible
403,+91,Darrynton Evans,Appalachian State,RBF,"5'11""",190,JR,2020-01-03,Declared
404,-8,Moe Neal,Syracuse,RBC,"5'11""",195,SR,2020-01-03,Eligible
405,-7,Marco Wilson,Florida,CB,"5'11""",194,JR,2020-01-03,Underclassman
406,-7,Marquiss Spencer,Mississippi State,DL5T,"6'4""",285,SR,2020-01-03,Eligible
407,-7,Van Jefferson,Florida,WRF,"6'2""",197,SR,2020-01-03,Eligible
408,-7,Reggie Floyd,Virginia Tech,S,"6'0""",222,SR,2020-01-03,Eligible
409,-7,Adrian Killins Jr.,UCF,RBC,"5'8""",164,SR,2020-01-03,Eligible
410,-7,Trey Sermon,Oklahoma,RBF,"6'0""",224,JR,2020-01-03,Underclassman
411,-7,Steven Montez,Colorado,QB,"6'5""",230,SR,2020-01-03,Eligible
412,-7,Blake Gallagher,Northwestern,OLB,"6'1""",235,JR,2020-01-03,Underclassman
413,-7,Ryan McCollum,Texas A&M,OC,"6'5""",305,JR,2020-01-03,Underclassman
414,-7,Marquez Callaway,Tennessee,WRF,"6'2""",200,SR,2020-01-03,Eligible
415,-7,Malik Herring,Georgia,DL5T,"6'3""",280,JR,2020-01-03,Underclassman
416,-7,Ty Tyler,Louisville,EDGE,"6'3""",262,RJR,2020-01-03,Underclassman
417,-7,Mitchell Wilcox,South Florida,TE,"6'5""",245,SR,2020-01-03,Eligible
418,-7,Mason Fine,North Texas,QB,"5'11""",190,SR,2020-01-03,Eligible
419,-7,Cedric Wilcots II,New Mexico State,EDGE,"6'4""",245,RSR,2020-01-03,Eligible
420,-7,Mike Panasiuk,Michigan State,DL3T,"6'4""",300,SR,2020-01-03,Eligible
421,-7,Tre'Vour Wallace-Simms,Missouri,OG,"6'5""",330,SR,2020-01-03,Eligible
422,-7,JaQuan Bailey,Iowa State,EDGE,"6'2""",251,SR,2020-01-03,Eligible
423,-7,Greg Eisworth,Iowa State,CB,"6'0""",198,RJR,2020-01-03,Underclassman
424,-7,Dylan Singleton,Duke,S,"5'11""",190,SR,2020-01-03,Eligible
425,-7,Britain Covey,Utah,WRS,"5'8""",170,JR,2020-01-03,Underclassman
426,-7,Nevelle Clarke,UCF,CB,"6'1""",187,RSR,2020-01-03,Eligible
427,-7,Scottie Phillips,Ole Miss,RBC,"5'8""",212,SR,2020-01-03,Eligible
428,-7,Tyler Vaughns,USC,WRF,"6'2""",185,RJR,2020-01-03,Underclassman
429,-7,Dalton Keene,Virginia Tech,TE,"6'4""",246,JR,2020-01-03,Underclassman
430,-7,Reggie Walker,Kansas State,EDGE,"6'2""",246,SR,2020-01-03,Eligible
431,-7,Jordan Johnson,UCF,OC,"6'2""",320,SR,2020-01-03,Eligible
432,-7,Tarik Black,Michigan,WRF,"6'3""",215,JR,2020-01-03,Underclassman
433,-7,Kiel Pollard,South Carolina,FB,"6'1""",235,SR,2020-01-03,Eligible
434,-7,Cooper Edmiston,Tulsa,ILB,"6'3""",237,SR,2020-01-03,Eligible
435,-7,Naquan Jones,Michigan State,DL1T,"6'4""",339,JR,2020-01-03,Underclassman
436,-7,Tanner Muse,Clemson,S,"6'2""",231,SR,2020-01-03,Eligible
437,-7,Davion Taylor,Colorado,OLB,"6'2""",220,SR,2020-01-03,Eligible
438,-7,Sean McKeon,Michigan,TE,"6'5""",251,SR,2020-01-03,Eligible
439,-7,Tavien Feaster,South Carolina,RBF,"5'11""",220,SR,2020-01-03,Eligible
440,-7,Camryn Bynum,California,CB,"6'0""",190,RJR,2020-01-03,Underclassman
441,-7,Joseph Charlton,South Carolina,P,"6'5""",190,SR,2020-01-03,Eligible
442,-7,Chad Smith,Clemson,ILB,"6'3""",240,RSR,2020-01-03,Eligible
443,-7,Marvin Kinsey Jr.,Colorado State,RBF,"6'1""",206,SR,2020-01-03,Eligible
444,-7,David Anenih,Houston,EDGE,"6'3""",237,JR,2020-01-03,Underclassman
445,-7,Janarius Robinson,Florida State,EDGE,"6'5""",261,RJR,2020-01-03,Underclassman
446,NEW,Keith Ismael,San Diego State,OC,"6'3""",310,JR,2020-01-03,Declared
447,NEW,Ezra Cleveland,Boise State,OT,"6'6""",310,RJR,2020-01-03,Declared
448,-7,Juju Hughes,Fresno State,S,"5'11""",188,SR,2020-01-03,Eligible
449,-7,John Reid,Penn State,CB,"5'11""",184,SR,2020-01-03,Eligible
450,-7,Steven Gonzalez,Penn State,OG,"6'4""",349,RSR,2020-01-03,Eligible
451,-7,Colton McKivitz,West Virginia,OT,"6'7""",312,RSR,2020-01-03,Eligible
452,-7,Jalen Price,East Carolina,DL3T,"6'2""",297,SR,2020-01-03,Eligible
453,-7,Quartney Davis,Texas A&M,WRF,6'2'',200,JR,2020-01-03,Declared
454,-7,Marcus Keyes,Oklahoma State,OG,"6'3""",309,RSR,2020-01-03,Eligible
455,-7,Brady Ross,Iowa,FB,"6'0""",240,SR,2020-01-03,Eligible
456,-7,Fletcher Adams,Mississippi State,DL5T,"6'2""",265,RSR,2020-01-03,Eligible
457,-6,Blake Gillikin,Penn State,P,"6'2""",195,SR,2020-01-03,Eligible
458,-6,Emeka Emezie,NC State,WRF,6'3'',210,JR,2020-01-03,Underclassman
459,-6,Luke Juriga,Western Michigan,OT,"6'4""",295,RSR,2020-01-03,Eligible
460,-6,Trajan Bandy,Miami (FL),CB,"5'9""",188,JR,2020-01-03,Declared
461,-6,Jesse Osuna,San Jose State,OLB,"6'0""",223,RSR,2020-01-03,Eligible
462,-6,Kindle Vildor,Georgia Southern,CB,"5'11""",190,SR,2020-01-03,Eligible
463,-6,J.D. Spielman,Nebraska,WRS,5'9'',180,JR,2020-01-03,Underclassman
464,-6,Marcus Norman,South Florida,OT,"6'6""",316,RSR,2020-01-03,Eligible
465,-6,Isaiah Chambers,Houston,EDGE,"6'5""",265,RJR,2020-01-03,Underclassman
466,-6,Quintez Cephus,Wisconsin,WRF,6'1'',207,JR,2020-01-03,Underclassman
467,-6,James Smith-Williams,NC State,EDGE,"6'3""",270,RSR,2020-01-03,Eligible
468,-6,Damar Hamlin,Pitt,S,"6'1""",195,SR,2020-01-03,Eligible
469,-5,Juwan Johnson,Oregon,WRF,"6'4""",227,SR,2020-01-03,Eligible
470,-5,Michael Ojemudia,Iowa,CB,"6'1""",199,SR,2020-01-03,Eligible
471,-5,Javaris Davis,Auburn,CB,"5'9""",179,SR,2020-01-03,Eligible
472,-5,Josiah Deguara,Cincinnati,TE,"6'3""",240,RSR,2020-01-03,Eligible
473,-5,Brady White,Memphis,QB,6'3'',215,JR,2020-01-03,Underclassman
474,-5,Raymond Calais,Louisiana-Lafayette,RBC,"5'9""",180,SR,2020-01-03,Eligible
475,-5,Michael Pitts,Cincinnati,EDGE,"6'4""",248,JR,2020-01-03,Underclassman
476,-5,Chauncey Manac,Louisiana-Lafayette,EDGE,"6'3""",252,RJR,2020-01-03,Underclassman
477,-5,Alize Ward,Stephen F. Austin,S,"5'11""",205,SR,2020-01-03,Eligible
478,-5,Giovanni Ricci,Western Michigan,TE,"6'3""",240,RSR,2020-01-03,Eligible
479,-5,Dan Moore,Texas A&M,OT,"6'5""",325,JR,2020-01-03,Underclassman
480,-5,Isaiah Zuber,Mississippi State,WRS,"5'11""",186,SR,2020-01-03,Eligible
481,-5,Noah Togiai,Oregon State,TE,"6'4""",241,RSR,2020-01-03,Eligible
482,-5,Patrick Carr,Houston,RBC,"5'10""",205,SR,2020-01-03,Eligible
483,NEW,Trishton Jackson,Syracuse,WRF,"6'1""",191,JR,2020-01-03,Declared
484,-5,Tra Barnett,Georgia State,RBC,5'10,185,SR,2020-01-03,Eligible
485,-5,Joey Magnifico,Memphis,TE,"6'4""",234,RSR,2020-01-03,Eligible
486,-5,Levi Brown,Marshall,OT,"6'4""",280,RSR,2020-01-03,Eligible
487,-5,B.J. Smith,Troy,RBC,"5'9""",203,SR,2020-01-03,Eligible
488,-5,Ray Lima,Iowa State,DL3T,"6'3""",302,RSR,2020-01-03,Eligible
489,-5,Brian Lewerke,Michigan State,QB,"6'3""",214,SR,2020-01-03,Eligible
490,-5,JaMycal Hasty,Baylor,RBC,"5'9""",205,RSR,2020-01-03,Eligible
491,-5,Marquel Harrell,Auburn,OG,"6'3""",309,SR,2020-01-03,Eligible
492,-5,Binjimen Victor,Ohio State,WRF,"6'4""",195,SR,2020-01-03,Eligible
493,-5,Karamo Dioubate,Temple,DL3T,"6'3""",295,SR,2020-01-03,Eligible
494,-5,Johnathon Johnson,Missouri,WRS,"5'8""",179,SR,2020-01-03,Eligible
495,-5,Gus Lavaka,Oregon State,OG,"6'4""",358,SR,2020-01-03,Eligible
496,-5,Kylan Wilborn,Arizona,EDGE,"6'2""",248,JR,2020-01-03,Underclassman
497,-5,Kesean Strong,Old Dominion,RBC,5'10,197,SR,2020-01-03,Eligible
498,-4,Mekhi Brown,Tennessee State,EDGE,"6'5""",250,RSR,2020-01-03,Eligible
499,-4,Tyrie Cleveland,Florida,WRF,"6'2""",206,SR,2020-01-03,Eligible
500,-4,Nick Westbrook,Indiana,WRF,"6'3""",216,RSR,2020-01-03,Eligible
